plat_nomor,nomor_rangka,warna,model,tipe,tahun_dibuat,tanggal_masa_pajak,pkb,pkb_progresif,opsen_pkb,opsen_pkb_progresif,swdkllj,parkir_berlangganan,pengesahan_stnk,cetak_stnk,cetak_tnkb
AE 5963 AAH,22398,Merah,Kawasaki KLX 150,KLX15086VECF,2014,2 Februari 2026,124000,0,81840,0,35000,0,0,100000,60000
AE 8662 EAW,57294,Silver,Suzuki GSX-R150,GX1506FTFYU,2022,26 Juni 2025,135000,0,89100,0,35000,0,0,100000,60000
M 6723 JPM,78777,Kuning,Yamaha Mio M3,F3G887A2Y,2011,27 Januari 2024,175000,0,115500,0,35000,0,0,100000,60000
S 6501 KF,11878,Hijau,Yamaha Mio M3,F3G45YU4O,2020,13 Oktober 2025,150000,0,99000,0,83000,0,0,100000,60000
P 1184 RM,62709,Abu-Abu,Honda Vario 125,JFH1UE1QIZ,2023,9 April 2025,250000,0,165000,0,83000,0,0,100000,60000
AE 2224 REI,26293,Hitam,Yamaha Freego,B7KJKLQJE,2012,26 April 2024,110000,0,72600,0,83000,0,0,100000,60000
W 9923 ROL,30330,Kuning,Honda PCX 160,KF30LCSPU3,2014,23 Juni 2025,85000,0,56100,0,35000,0,0,100000,60000
AE 9264 YZB,68187,Kuning,Honda CB150R,CB150RFU0V9L,2014,11 Agustus 2025,200000,0,132000,0,83000,0,0,100000,60000
M 6258 EU,30482,Merah,Yamaha Aerox 155,B3W0FV207,2010,8 September 2024,124000,0,81840,0,35000,0,0,100000,60000
W 7633 HV,87466,Abu-Abu,Kawasaki KLX 150,KLX150YGUSOS,2018,10 Maret 2026,150000,0,99000,0,83000,0,0,100000,60000
P 1494 AZU,45847,Putih,Honda Revo 110,HB53YCTWX,2019,20 Agustus 2024,85000,0,56100,0,83000,0,0,100000,60000
AE 9204 KJE,97593,Hitam,Honda Vario 125,JFH1N6BNTY,2024,24 Oktober 2024,135000,0,89100,0,35000,0,0,100000,60000
P 1387 TH,70775,Silver,Suzuki GSX-R150,GX150FQI2O8,2018,10 Desember 2024,85000,0,56100,0,83000,0,0,100000,60000
L 2091 YH,72772,Merah,Honda Beat,JFW1NZDB39,2010,8 Mei 2025,85000,0,56100,0,35000,0,0,100000,60000
L 2856 XG,13954,Hitam,Honda Vario 125,JFH1KXAXLW,2011,20 Maret 2024,250000,0,165000,0,83000,0,0,100000,60000
AG 3679 CDU,10791,Putih,Honda CB150R,CB150R1U57JG,2018,8 Mei 2026,124000,0,81840,0,35000,0,0,100000,60000
W 1181 NY,98190,Orange,Honda Beat,JFW10HY971,2018,22 September 2025,250000,0,165000,0,35000,0,0,100000,60000
AE 6181 JVO,46963,Hijau,Honda Scoopy,JFB1CXYCYJ,2016,20 Oktober 2025,124000,0,81840,0,35000,0,0,100000,60000
P 8050 RT,51956,Abu-Abu,Kawasaki Ninja 250,EX250NZFNWS,2011,10 Januari 2025,175000,0,115500,0,35000,0,0,100000,60000
P 4652 LIR,73289,Silver,Honda PCX 160,KF30OT1EJE,2017,3 Juni 2024,124000,0,81840,0,35000,0,0,100000,60000
S 3576 BIH,04299,Merah,Honda Revo 110,HB5JFA3LV,2010,9 Desember 2025,200000,0,132000,0,35000,0,0,100000,60000
AE 3454 YWL,62641,Hitam,Yamaha Freego,B7KETYF95,2013,16 November 2025,95000,0,62700,0,35000,0,0,100000,60000
L 2802 TE,46535,Hitam,Suzuki GSX-R150,GX150LF0RRZ,2010,23 Mei 2024,225000,0,148500,0,35000,0,0,100000,60000
L 6245 PU,03736,Kuning,Honda Beat,JFW1FCU2WW,2018,13 Juni 2024,135000,0,89100,0,35000,0,0,100000,60000
W 1322 LDR,18595,Putih,Honda Vario 125,JFH1WY5JSF,2013,20 Desember 2024,124000,0,81840,0,83000,0,0,100000,60000
W 2926 DHZ,62038,Abu-Abu,Yamaha NMAX 155,SED3PHEN6X,2020,7 Desember 2024,135000,0,89100,0,35000,0,0,100000,60000
M 1987 XMG,17129,Silver,Yamaha Mio M3,F3GBGHIH6,2015,3 Desember 2025,200000,0,132000,0,83000,0,0,100000,60000
W 3063 ARG,45031,Merah,Yamaha Aerox 155,B3W7RAEQR,2011,30 Maret 2026,200000,0,132000,0,83000,0,0,100000,60000
N 9846 NEK,08279,Hijau,Yamaha Freego,B7K5S0IPL,2017,28 Maret 2024,225000,0,148500,0,35000,0,0,100000,60000
N 4528 FDI,51295,Putih,Yamaha Aerox 155,B3W7MZXCB,2018,19 Desember 2025,150000,0,99000,0,35000,0,0,100000,60000
M 8903 EY,05164,Biru,Yamaha Vixion R,B4WB7HTWD,2012,5 Januari 2024,124000,0,81840,0,83000,0,0,100000,60000
L 7477 EM,54015,Silver,Honda Beat,JFW1Q2S7VZ,2022,17 Maret 2026,175000,0,115500,0,83000,0,0,100000,60000
L 2851 EC,74767,Silver,Honda Vario 125,JFH1J4ARUC,2019,26 Mei 2024,124000,0,81840,0,83000,0,0,100000,60000
N 1984 MF,69785,Biru,Kawasaki KLX 150,KLX150TBLBK6,2010,13 Maret 2024,95000,0,62700,0,35000,0,0,100000,60000
P 8972 UX,10423,Biru,Yamaha Freego,B7K18YGIN,2024,27 Januari 2026,200000,0,132000,0,83000,0,0,100000,60000
AG 9723 PDO,38152,Orange,Yamaha Vixion R,B4W4OSKOX,2015,20 Agustus 2024,200000,0,132000,0,35000,0,0,100000,60000
S 1249 ZD,14623,Merah,Honda Scoopy,JFB1CL4QPU,2013,30 April 2024,95000,0,62700,0,83000,0,0,100000,60000
W 2382 JMI,90343,Kuning,Kawasaki Ninja 250,EX25004J35F,2023,1 Desember 2025,175000,0,115500,0,83000,0,0,100000,60000
W 9382 HY,09151,Silver,Honda Revo 110,HB59BLC72,2012,14 Februari 2026,250000,0,165000,0,83000,0,0,100000,60000
P 8763 HKS,79238,Abu-Abu,Honda Scoopy,JFB15WJ60L,2015,16 Maret 2024,175000,0,115500,0,35000,0,0,100000,60000
M 8654 PK,69428,Merah,Suzuki Satria F150,SF150D5OTW4,2010,31 Maret 2025,250000,0,165000,0,83000,0,0,100000,60000
N 1975 IAU,73528,Kuning,Kawasaki Ninja 250,EX250CL1GPY,2014,11 Maret 2026,225000,0,148500,0,35000,0,0,100000,60000
P 8511 FUZ,15438,Orange,Kawasaki Ninja 250,EX250IKR5XR,2014,16 November 2025,95000,0,62700,0,83000,0,0,100000,60000
AE 8557 TAZ,93739,Silver,Yamaha Freego,B7KQPX1UG,2012,19 November 2025,225000,0,148500,0,35000,0,0,100000,60000
L 8171 ZZG,32211,Merah,Honda CB150R,CB150RZPTYXR,2015,7 Juli 2025,225000,0,148500,0,83000,0,0,100000,60000
L 4980 MOQ,92215,Putih,Honda PCX 160,KF30VYWNPV,2017,18 Februari 2024,150000,0,99000,0,83000,0,0,100000,60000
AE 6237 JR,81264,Abu-Abu,Suzuki Satria F150,SF150U5IKZN,2019,23 Februari 2025,135000,0,89100,0,83000,0,0,100000,60000
AG 3260 IM,15373,Biru,Yamaha Mio M3,F3GPH66UQ,2010,25 Desember 2025,200000,0,132000,0,35000,0,0,100000,60000
L 5607 KBW,98316,Hitam,Suzuki Satria F150,SF1500323RH,2015,16 Mei 2024,85000,0,56100,0,83000,0,0,100000,60000
AE 1425 QC,74904,Putih,Yamaha Aerox 155,B3WL9VZAF,2023,7 April 2024,135000,0,89100,0,35000,0,0,100000,60000
W 6149 UCM,12654,Hitam,Yamaha R15,B74WSL4IR,2013,22 Januari 2025,95000,0,62700,0,35000,0,0,100000,60000
N 9263 IDM,85491,Abu-Abu,Yamaha Mio M3,F3GI7Y72V,2012,12 November 2024,135000,0,89100,0,35000,0,0,100000,60000
W 8543 TP,91578,Silver,Yamaha Vixion R,B4WU74N72,2020,19 Oktober 2024,250000,0,165000,0,35000,0,0,100000,60000
AG 4459 JUZ,82626,Orange,Honda PCX 160,KF301ZEAAW,2024,23 Maret 2025,110000,0,72600,0,83000,0,0,100000,60000
L 6752 LFF,13645,Biru,Honda Scoopy,JFB1XHRAUR,2021,24 Maret 2024,110000,0,72600,0,83000,0,0,100000,60000
AE 9118 MC,57430,Putih,Honda CB150R,CB150RTR0OBQ,2019,13 Mei 2026,225000,0,148500,0,83000,0,0,100000,60000
L 5416 NDI,34159,Kuning,Yamaha R15,B74BSTY01,2020,21 Januari 2026,135000,0,89100,0,35000,0,0,100000,60000
P 6093 VBN,09566,Kuning,Kawasaki KLX 150,KLX150Z83R6X,2019,22 Agustus 2024,124000,0,81840,0,35000,0,0,100000,60000
L 6864 AB,77223,Merah,Suzuki Satria F150,SF15003RK3M,2012,7 Juli 2024,124000,0,81840,0,83000,0,0,100000,60000
L 7825 FHD,65611,Hitam,Yamaha Vixion R,B4WEZM5C2,2018,23 Mei 2025,150000,0,99000,0,83000,0,0,100000,60000
W 9370 LP,66062,Silver,Honda Revo 110,HB5NLFPH1,2015,7 Juni 2025,135000,0,89100,0,35000,0,0,100000,60000
AE 4137 NY,27842,Hitam,Honda Vario 125,JFH1LYD8UE,2016,5 Agustus 2025,150000,0,99000,0,83000,0,0,100000,60000
L 8722 FT,01643,Abu-Abu,Kawasaki KLX 150,KLX150Y0LBOM,2024,30 November 2025,95000,0,62700,0,83000,0,0,100000,60000
W 8621 WO,10294,Hitam,Yamaha Aerox 155,B3WNCE31T,2010,19 Januari 2024,95000,0,62700,0,83000,0,0,100000,60000
AE 1069 GJF,24382,Merah,Yamaha Mio M3,F3GEK8GVP,2021,8 Desember 2023,250000,0,165000,0,83000,0,0,100000,60000
AE 7428 TO,15755,Putih,Yamaha R15,B74GQEDSW,2018,13 November 2025,150000,0,99000,0,35000,0,0,100000,60000
M 6131 AZ,61905,Merah,Suzuki GSX-R150,GX15023DF16,2022,5 Agustus 2025,110000,0,72600,0,83000,0,0,100000,60000
L 7800 EY,87636,Hijau,Suzuki Satria F150,SF15048U15C,2018,23 April 2026,200000,0,132000,0,35000,0,0,100000,60000
AE 2281 JK,43110,Orange,Honda PCX 160,KF304DEKOX,2010,8 Maret 2025,225000,0,148500,0,35000,0,0,100000,60000
M 1876 MAO,21911,Silver,Honda Beat,JFW1E5MFJ3,2024,7 April 2024,200000,0,132000,0,35000,0,0,100000,60000
S 3050 IZ,45503,Putih,Kawasaki Ninja 250,EX250ZIAO56,2023,26 September 2024,250000,0,165000,0,83000,0,0,100000,60000
L 4332 ZYS,73698,Putih,Kawasaki Ninja 250,EX2508PH0EH,2021,19 Agustus 2025,110000,0,72600,0,35000,0,0,100000,60000
N 3908 PT,75803,Hijau,Suzuki Satria F150,SF150PMNONZ,2018,25 Mei 2025,85000,0,56100,0,35000,0,0,100000,60000
L 9059 GR,69384,Kuning,Honda CB150R,CB150R0WHMFM,2012,14 April 2024,124000,0,81840,0,83000,0,0,100000,60000
L 2541 IRN,23529,Biru,Suzuki Satria F150,SF150AV1X1W,2013,12 Desember 2023,200000,0,132000,0,83000,0,0,100000,60000
N 7401 PN,39377,Orange,Honda CB150R,CB150R6YF36N,2024,5 Februari 2024,110000,0,72600,0,83000,0,0,100000,60000
M 7626 NFZ,11054,Orange,Honda Scoopy,JFB1QT8LND,2019,14 Desember 2024,150000,0,99000,0,35000,0,0,100000,60000
AE 6674 HE,85314,Silver,Honda PCX 160,KF30CZCZMZ,2012,27 Mei 2024,124000,0,81840,0,83000,0,0,100000,60000
W 5028 HK,95762,Hitam,Yamaha Vixion R,B4WEMLJYO,2013,25 November 2024,175000,0,115500,0,83000,0,0,100000,60000
W 9075 OQ,82483,Hitam,Yamaha Vixion R,B4WQAQ9JD,2010,15 Juni 2024,110000,0,72600,0,83000,0,0,100000,60000
P 7165 ME,45500,Orange,Honda CB150R,CB150R9ZPQ7R,2012,11 Juli 2024,124000,0,81840,0,83000,0,0,100000,60000
M 2575 WA,91903,Biru,Yamaha NMAX 155,SED356FVDR,2022,6 Februari 2025,124000,0,81840,0,83000,0,0,100000,60000
P 3928 TEO,30111,Hijau,Yamaha R15,B743CX99Q,2023,20 Mei 2025,225000,0,148500,0,35000,0,0,100000,60000
AE 9933 DQ,46876,Kuning,Kawasaki KLX 150,KLX150ZEFAH9,2015,15 Oktober 2024,225000,0,148500,0,35000,0,0,100000,60000
P 2396 HGG,34218,Biru,Yamaha R15,B74KWM5QM,2023,18 Desember 2025,175000,0,115500,0,83000,0,0,100000,60000
AG 6144 AIP,12973,Orange,Suzuki Satria F150,SF1506V5Z3A,2013,18 Maret 2024,110000,0,72600,0,35000,0,0,100000,60000
AG 1567 GC,86403,Hijau,Honda Scoopy,JFB1ML42Z1,2012,28 Maret 2024,200000,0,132000,0,35000,0,0,100000,60000
L 9284 YNF,15088,Orange,Honda Revo 110,HB582VZCX,2012,20 April 2025,124000,0,81840,0,83000,0,0,100000,60000
AG 9574 JQP,57791,Hitam,Honda Vario 125,JFH1TSG1LL,2024,13 Juni 2024,95000,0,62700,0,83000,0,0,100000,60000
S 1726 YVF,55398,Hijau,Honda Scoopy,JFB1E50ZMH,2020,26 Juli 2025,225000,0,148500,0,83000,0,0,100000,60000
N 3380 WVS,80480,Kuning,Yamaha Freego,B7KPHD0WR,2016,23 September 2025,135000,0,89100,0,83000,0,0,100000,60000
S 3831 WU,16438,Orange,Honda CB150R,CB150RTI1BU7,2010,5 Februari 2025,250000,0,165000,0,83000,0,0,100000,60000
AE 1607 YWD,92477,Orange,Honda PCX 160,KF300V0FJP,2012,13 Desember 2024,175000,0,115500,0,83000,0,0,100000,60000
W 7843 LI,68201,Putih,Honda Scoopy,JFB1CIBB0T,2011,28 April 2026,135000,0,89100,0,83000,0,0,100000,60000
S 5902 GR,03313,Hijau,Yamaha R15,B743NUP3Q,2015,26 Oktober 2025,175000,0,115500,0,35000,0,0,100000,60000
W 2526 ZH,65201,Abu-Abu,Honda CB150R,CB150R8LE854,2010,7 Mei 2024,225000,0,148500,0,83000,0,0,100000,60000
S 4998 LJ,69314,Orange,Kawasaki Ninja 250,EX250RQQ1HC,2021,2 Januari 2025,200000,0,132000,0,35000,0,0,100000,60000
S 8272 JX,62102,Orange,Honda Scoopy,JFB121M8CC,2022,11 Desember 2025,110000,0,72600,0,83000,0,0,100000,60000
S 4584 BCE,40598,Silver,Honda CB150R,CB150RH4EJSH,2014,29 Desember 2025,110000,0,72600,0,35000,0,0,100000,60000
M 2977 ZY,21369,Silver,Kawasaki KLX 150,KLX1509IF4XJ,2014,3 Februari 2024,150000,0,99000,0,35000,0,0,100000,60000
S 8339 QOB,37504,Hitam,Honda Revo 110,HB5513XJW,2019,21 November 2025,250000,0,165000,0,35000,0,0,100000,60000
S 4226 XJ,91817,Hijau,Yamaha Aerox 155,B3WFBSZ91,2012,12 Januari 2025,135000,0,89100,0,83000,0,0,100000,60000
P 1889 LL,69275,Biru,Yamaha R15,B74R4LG2R,2010,3 November 2025,85000,0,56100,0,35000,0,0,100000,60000
N 7044 FQC,97494,Hitam,Honda Vario 125,JFH18UTQE9,2022,30 Juni 2024,124000,0,81840,0,35000,0,0,100000,60000
P 1441 FPQ,67481,Merah,Honda PCX 160,KF3051BSAI,2023,19 Maret 2024,175000,0,115500,0,35000,0,0,100000,60000
N 7683 DEU,95474,Hijau,Yamaha NMAX 155,SED39JSFD2,2022,10 Juni 2025,175000,0,115500,0,35000,0,0,100000,60000
P 3964 WZU,02595,Hitam,Kawasaki Ninja 250,EX250S3RQCB,2020,25 Juli 2025,124000,0,81840,0,35000,0,0,100000,60000
N 1173 QZJ,40648,Merah,Yamaha Vixion R,B4WUZ69CT,2022,31 Desember 2023,250000,0,165000,0,35000,0,0,100000,60000
L 1183 UL,43561,Biru,Kawasaki KLX 150,KLX150IRV1QY,2011,23 November 2025,150000,0,99000,0,35000,0,0,100000,60000
P 6314 HNN,55421,Biru,Kawasaki KLX 150,KLX150KLI2ZF,2014,14 Januari 2026,95000,0,62700,0,83000,0,0,100000,60000
N 4534 CS,78994,Merah,Honda PCX 160,KF30D6RVKT,2010,24 Desember 2024,200000,0,132000,0,83000,0,0,100000,60000
N 4270 DUN,36665,Putih,Honda Beat,JFW1C9B566,2012,10 Maret 2024,250000,0,165000,0,35000,0,0,100000,60000
AE 5749 TFE,48735,Putih,Honda CB150R,CB150R20BH2F,2013,7 Mei 2024,225000,0,148500,0,35000,0,0,100000,60000
L 7721 VZT,03538,Biru,Honda Beat,JFW1IV3EB9,2023,29 Januari 2026,124000,0,81840,0,35000,0,0,100000,60000
S 6076 EO,39578,Orange,Yamaha Aerox 155,B3WE78MZK,2014,26 Januari 2025,135000,0,89100,0,83000,0,0,100000,60000
AG 7903 FF,82264,Biru,Yamaha Aerox 155,B3WKVNKIR,2012,16 Maret 2026,250000,0,165000,0,83000,0,0,100000,60000
L 5551 EQ,10177,Biru,Yamaha Mio M3,F3G1RPM8U,2013,1 Februari 2026,200000,0,132000,0,35000,0,0,100000,60000
AE 2759 HBV,41459,Biru,Honda PCX 160,KF30XKB03J,2017,22 Oktober 2024,95000,0,62700,0,83000,0,0,100000,60000
M 9041 YDD,60354,Kuning,Kawasaki Ninja 250,EX250CU53JR,2015,7 April 2026,124000,0,81840,0,35000,0,0,100000,60000
P 3419 PBT,86733,Kuning,Yamaha R15,B74C2FW5F,2015,6 Agustus 2024,175000,0,115500,0,83000,0,0,100000,60000
P 1129 OQ,46833,Biru,Honda Scoopy,JFB153RM2N,2019,15 Oktober 2025,225000,0,148500,0,35000,0,0,100000,60000
W 6715 AXQ,39734,Hijau,Honda Revo 110,HB5HALJ8H,2022,15 Januari 2026,135000,0,89100,0,83000,0,0,100000,60000
S 8817 ZUM,05879,Putih,Suzuki Satria F150,SF150T2S879,2016,20 Juli 2025,200000,0,132000,0,35000,0,0,100000,60000
AG 8168 TVX,93077,Hijau,Yamaha Vixion R,B4W06D6SF,2022,24 Agustus 2024,200000,0,132000,0,83000,0,0,100000,60000
L 4361 UJC,40616,Silver,Honda PCX 160,KF30WVFAD1,2015,5 Januari 2024,95000,0,62700,0,83000,0,0,100000,60000
N 5625 WIZ,00483,Hitam,Honda Revo 110,HB5K3IM6P,2015,25 September 2025,225000,0,148500,0,35000,0,0,100000,60000
N 4305 AM,66229,Putih,Yamaha Vixion R,B4WMJGO7Y,2024,16 Mei 2026,200000,0,132000,0,83000,0,0,100000,60000
M 1060 VU,90082,Orange,Kawasaki Ninja 250,EX250V6UXM9,2014,16 Mei 2025,225000,0,148500,0,35000,0,0,100000,60000
AG 9299 XT,06691,Abu-Abu,Honda PCX 160,KF30XJPUB9,2024,1 Maret 2025,124000,0,81840,0,35000,0,0,100000,60000
S 3844 CJO,21341,Kuning,Honda Vario 125,JFH1G94ZUT,2018,22 Desember 2025,85000,0,56100,0,83000,0,0,100000,60000
L 9156 MXI,95746,Orange,Suzuki GSX-R150,GX150IWRZV3,2014,26 Februari 2026,124000,0,81840,0,35000,0,0,100000,60000
W 3714 QPS,85738,Putih,Honda Beat,JFW1XIOVLA,2011,15 Mei 2025,150000,0,99000,0,35000,0,0,100000,60000
AG 7943 DBV,82618,Kuning,Yamaha Aerox 155,B3W1O01YT,2015,5 November 2025,250000,0,165000,0,83000,0,0,100000,60000
L 8297 YZU,10476,Biru,Honda CB150R,CB150R5TY18J,2017,18 Februari 2026,150000,0,99000,0,35000,0,0,100000,60000
P 1855 SWQ,09290,Silver,Yamaha Freego,B7KQBWK2N,2018,28 Juli 2024,135000,0,89100,0,35000,0,0,100000,60000
W 2327 JZI,22987,Abu-Abu,Yamaha Vixion R,B4WO98AI8,2019,4 April 2026,225000,0,148500,0,83000,0,0,100000,60000
AE 7885 NUS,73691,Merah,Honda Revo 110,HB5KRW6FO,2020,2 September 2025,225000,0,148500,0,35000,0,0,100000,60000
AG 6422 CYH,80598,Putih,Honda Vario 125,JFH1AYOVQ7,2019,19 Agustus 2025,95000,0,62700,0,35000,0,0,100000,60000
L 2768 TW,67158,Hitam,Honda Vario 125,JFH10NOEVV,2020,22 November 2025,124000,0,81840,0,83000,0,0,100000,60000
L 8840 YP,10874,Silver,Honda Revo 110,HB5DYURMF,2017,21 Oktober 2025,85000,0,56100,0,83000,0,0,100000,60000
S 6966 HDJ,96115,Putih,Suzuki Satria F150,SF150WN5AUR,2019,8 Oktober 2024,124000,0,81840,0,35000,0,0,100000,60000
AG 9890 LKX,23898,Merah,Honda CB150R,CB150RZLBP8E,2017,27 September 2025,225000,0,148500,0,35000,0,0,100000,60000
M 1089 MB,96214,Putih,Yamaha Vixion R,B4W1TTV2M,2010,31 Januari 2024,175000,0,115500,0,35000,0,0,100000,60000
W 7943 MBF,95513,Hijau,Yamaha NMAX 155,SED3YB2DQL,2014,16 Januari 2024,85000,0,56100,0,35000,0,0,100000,60000
W 7153 JF,48219,Orange,Yamaha R15,B7447MS2P,2012,9 April 2025,124000,0,81840,0,83000,0,0,100000,60000
M 1704 DZL,96555,Merah,Suzuki Satria F150,SF150EC4MNF,2013,4 Januari 2025,85000,0,56100,0,35000,0,0,100000,60000
AG 3809 WP,56958,Merah,Honda CB150R,CB150R6X7Z26,2018,24 April 2025,135000,0,89100,0,35000,0,0,100000,60000
N 4976 UC,65456,Putih,Honda PCX 160,KF30ECWZ5H,2017,29 Mei 2026,135000,0,89100,0,83000,0,0,100000,60000
AE 7383 QMT,28396,Hitam,Yamaha Freego,B7KD4PXRJ,2015,10 Agustus 2024,250000,0,165000,0,83000,0,0,100000,60000
M 8377 QV,29732,Putih,Yamaha NMAX 155,SED3KL6T6R,2015,13 Juni 2024,250000,0,165000,0,83000,0,0,100000,60000
M 4688 ZF,80083,Abu-Abu,Honda Vario 125,JFH1WBMB1F,2015,21 September 2025,110000,0,72600,0,83000,0,0,100000,60000
S 7006 BVM,07874,Abu-Abu,Honda Revo 110,HB59V6W0Z,2017,1 Maret 2024,150000,0,99000,0,83000,0,0,100000,60000
P 2305 PDB,49101,Hitam,Honda PCX 160,KF30625DTO,2016,2 Juli 2025,85000,0,56100,0,83000,0,0,100000,60000
P 2382 CC,15742,Biru,Suzuki GSX-R150,GX1504IDNE1,2014,16 Maret 2026,175000,0,115500,0,35000,0,0,100000,60000
W 3232 FPE,59935,Silver,Honda CB150R,CB150RFI2A2N,2024,30 Mei 2025,95000,0,62700,0,83000,0,0,100000,60000
AG 6202 YCL,85507,Hitam,Honda Vario 125,JFH1YTW7EG,2013,3 Januari 2026,85000,0,56100,0,35000,0,0,100000,60000
M 4567 VFZ,34353,Abu-Abu,Yamaha Mio M3,F3GGV7T9F,2010,23 September 2025,135000,0,89100,0,83000,0,0,100000,60000
P 6261 LCK,16988,Silver,Yamaha Freego,B7K6K8C9M,2019,6 Februari 2024,135000,0,89100,0,83000,0,0,100000,60000
W 7243 AEV,26679,Hitam,Yamaha Vixion R,B4WABHWJ3,2010,8 Agustus 2025,95000,0,62700,0,83000,0,0,100000,60000
AE 3560 CO,36816,Silver,Honda Beat,JFW1Q5SKZM,2022,12 Oktober 2025,85000,0,56100,0,35000,0,0,100000,60000
L 8616 OVD,69165,Biru,Honda Revo 110,HB5TC6OK3,2012,3 Desember 2024,95000,0,62700,0,83000,0,0,100000,60000
AE 9376 GMY,87678,Merah,Yamaha Vixion R,B4WSUS9PM,2014,15 Mei 2025,225000,0,148500,0,83000,0,0,100000,60000
S 1524 HO,46228,Merah,Honda Beat,JFW1BNN3PH,2019,23 Februari 2026,110000,0,72600,0,83000,0,0,100000,60000
M 7310 ZY,79523,Hitam,Yamaha Freego,B7KIIAGTP,2021,25 Juni 2025,225000,0,148500,0,83000,0,0,100000,60000
M 6180 NMY,52842,Merah,Yamaha Mio M3,F3GGY7ML1,2010,12 Februari 2025,175000,0,115500,0,83000,0,0,100000,60000
N 9030 IP,33557,Hijau,Honda Scoopy,JFB16ZU38O,2020,28 April 2025,95000,0,62700,0,83000,0,0,100000,60000
P 4267 QL,75346,Hitam,Kawasaki Ninja 250,EX250XN4BB2,2012,7 Maret 2025,124000,0,81840,0,35000,0,0,100000,60000
S 8620 TT,99933,Putih,Honda CB150R,CB150R56I8B3,2011,11 Agustus 2025,250000,0,165000,0,35000,0,0,100000,60000
P 5689 WL,74728,Hitam,Kawasaki Ninja 250,EX250KVX765,2013,18 Maret 2024,225000,0,148500,0,35000,0,0,100000,60000
M 4866 PRY,16147,Biru,Kawasaki Ninja 250,EX250CBO41J,2024,20 Juni 2025,85000,0,56100,0,35000,0,0,100000,60000
S 3299 YOS,57645,Kuning,Honda Beat,JFW1WBAMG4,2022,25 Agustus 2025,250000,0,165000,0,35000,0,0,100000,60000
P 8513 KG,90598,Silver,Honda PCX 160,KF30AP4MGR,2015,30 November 2025,95000,0,62700,0,35000,0,0,100000,60000
M 2036 JR,25536,Hijau,Kawasaki Ninja 250,EX2508QXVJM,2017,1 Agustus 2025,200000,0,132000,0,35000,0,0,100000,60000
P 9985 MDS,54171,Hitam,Suzuki GSX-R150,GX1504CQU5R,2023,29 Oktober 2025,110000,0,72600,0,35000,0,0,100000,60000
S 8952 GYO,64445,Hijau,Suzuki GSX-R150,GX150ST8OIF,2019,15 Juni 2025,200000,0,132000,0,35000,0,0,100000,60000
P 9746 TBY,04623,Hijau,Honda CB150R,CB150R23DVA4,2020,9 Maret 2024,110000,0,72600,0,35000,0,0,100000,60000
AG 2930 FZS,36735,Kuning,Honda Scoopy,JFB1GA76SC,2019,30 Maret 2026,95000,0,62700,0,35000,0,0,100000,60000
AG 9367 DGN,22986,Putih,Kawasaki KLX 150,KLX1505C7EIS,2013,27 November 2025,250000,0,165000,0,83000,0,0,100000,60000
P 9702 NPU,71436,Hijau,Yamaha NMAX 155,SED3PQMH02,2013,26 Maret 2025,95000,0,62700,0,35000,0,0,100000,60000
M 4126 VT,97665,Kuning,Honda CB150R,CB150RKCNI8B,2017,31 Januari 2026,110000,0,72600,0,35000,0,0,100000,60000
M 2740 RHW,87882,Merah,Yamaha Aerox 155,B3WU21KHI,2013,31 Oktober 2025,135000,0,89100,0,83000,0,0,100000,60000
N 9035 LB,02410,Kuning,Honda Scoopy,JFB1BII3HC,2024,16 Agustus 2025,200000,0,132000,0,83000,0,0,100000,60000
AE 6563 MZ,96431,Biru,Yamaha R15,B74FGROQT,2011,19 Juli 2024,85000,0,56100,0,83000,0,0,100000,60000
P 8929 DF,44588,Abu-Abu,Yamaha NMAX 155,SED3U1PZ34,2020,17 Oktober 2024,225000,0,148500,0,35000,0,0,100000,60000
M 5010 GVQ,40598,Hijau,Honda PCX 160,KF30A02560,2018,18 September 2025,110000,0,72600,0,35000,0,0,100000,60000
AE 6701 PM,13832,Merah,Yamaha Vixion R,B4WF5ZSN8,2024,7 Februari 2024,110000,0,72600,0,83000,0,0,100000,60000
L 3347 NG,78967,Hijau,Kawasaki Ninja 250,EX250IID2YM,2022,22 November 2025,225000,0,148500,0,35000,0,0,100000,60000
P 4938 NGZ,52668,Orange,Honda Beat,JFW1CZXFSM,2021,18 Desember 2025,200000,0,132000,0,83000,0,0,100000,60000
AG 9155 ZL,16520,Putih,Honda Scoopy,JFB1AXV5GY,2010,3 Maret 2025,250000,0,165000,0,83000,0,0,100000,60000
S 7171 PZA,09661,Merah,Honda Revo 110,HB5DZEMG5,2022,26 Juli 2025,225000,0,148500,0,35000,0,0,100000,60000
S 6492 OG,51737,Biru,Kawasaki KLX 150,KLX150UPWZ0F,2023,5 Maret 2026,150000,0,99000,0,83000,0,0,100000,60000
L 1935 AH,35313,Biru,Honda PCX 160,KF30XBPF72,2021,27 Juni 2024,150000,0,99000,0,83000,0,0,100000,60000
L 2832 KB,15646,Hitam,Honda PCX 160,KF30MQ7DFR,2021,30 Maret 2024,110000,0,72600,0,83000,0,0,100000,60000
M 7842 DPT,34458,Merah,Honda CB150R,CB150R3Q1FEY,2015,14 Juni 2025,225000,0,148500,0,35000,0,0,100000,60000
